question,category,expected_status,expected_clause_number,should_abstain,actual_status,actual_clause_number,confidence_label,validation_passed,status_correct,citation_correct,key_facts_ok,retrieval_correct,evidence_selection_correct,classification,failure_stage,retrieval_time_seconds,llm_time_seconds,total_time_seconds,retrieved_chunk_count,prompt_tokens,completion_tokens,answer_char_count,answer_text,reliability_note,notes
What dental treatments are not covered?,Exclusion,Explicitly Excluded,4.2(c)|4.2(a),False,Explicitly Excluded,2.3,Verified Evidence,True,True,False,True,True,True,Citation Failure,Citation Failure,0.014756917953491211,3.0977163314819336,3.112941265106201,3,283,40,107,"Routine dental treatment, including fillings, extractions, and dentures, is not covered under this Section.",Validated.,
Is there a waiting period for pre-existing conditions?,Waiting Period,Covered,3.1,False,Covered,3.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.01551055908203125,3.539116382598877,3.552157402038574,3,309,40,110,"Yes, there is a waiting period of 48 months for any Pre-Existing Disease from the first policy inception date.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
How long do I have to wait before pre-existing disease treatment is covered?,Waiting Period,Covered,3.1,False,Covered,3.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.01222538948059082,2.666243314743042,2.6814627647399902,3,324,37,114,"The waiting period for pre-existing disease treatment is 48 months, measured from the first policy inception date.",Validated.,Paraphrase
What is the initial waiting period for illnesses?,Waiting Period,Covered,3.2,False,Covered,3.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.013982772827148438,3.0130343437194824,3.028226852416992,3,302,33,90,"The initial waiting period for illnesses is 30 days, except claims arising from accidents.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
Is there a waiting period before any claims can be made?,Waiting Period,Covered,3.2,False,Insufficient Evidence,,Insufficient Evidence,True,False,False,False,True,True,Incorrect Abstention,Generation Failure,0.014864444732666016,3.5856411457061768,3.60530424118042,3,319,36,112,The evidence provided does not explicitly state whether there is a waiting period before any claims can be made.,Validated.,"Paraphrase, no keyword overlap"
What is the waiting period for cataract surgery?,Waiting Period,Covered,3.3,False,Covered,3.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.01841425895690918,2.9903151988983154,3.0027220249176025,3,305,29,53,The waiting period for cataract surgery is 24 months.,Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
Is there a waiting period for hernia treatment?,Waiting Period,Covered,3.3,False,Covered,3.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.012585639953613281,3.0688321590423584,3.0842385292053223,3,304,42,109,"Yes, there is a waiting period of 24 months for treatment of cataract, hernia, and joint replacement surgery.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,Paraphrase
Are joint replacement surgeries covered immediately after buying the policy?,Waiting Period,Insufficient Evidence,3.3,True,Insufficient Evidence,,Insufficient Evidence,True,True,False,False,True,True,Appropriate Abstention,,0.017446517944335938,3.3433451652526855,3.3608171939849854,3,312,35,132,The evidence provided does not explicitly state whether joint replacement surgeries are covered immediately after buying the policy.,Validated.,"Correct answer must explain the waiting period, not a flat yes/no"
What happens if I make a claim during the first year?,Exception,Explicitly Excluded,4.3,False,Insufficient Evidence,4.3,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.014015436172485352,2.6522340774536133,2.671236753463745,3,316,31,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",
Are claims payable if I get sick within 90 days of buying the policy?,Exception,Explicitly Excluded,4.3,False,Insufficient Evidence,4.3,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.013968467712402344,2.804774284362793,2.8224716186523438,3,324,37,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",Paraphrase
"If I have an accident in the first month, is the claim payable?",Exception,Covered,4.3,False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.01884150505065918,2.281191349029541,2.300565719604492,3,304,35,111,The evidence provided does not specify whether claims for accidents in the first month are covered or excluded.,Validated.,Accident exception carves coverage out of the first-year exclusion
Who is considered an insured person under this policy?,Eligibility,Covered,1.1,False,Covered,1.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.015028715133666992,3.1677725315093994,3.186150074005127,3,298,34,98,The Insured Person means the person named in the policy schedule who is covered under this policy.,Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,
What does waiting period mean in this policy?,Eligibility,Covered,1.3,False,Covered,1.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.014076709747314453,3.1417999267578125,3.156670331954956,3,302,36,115,The waiting period in this policy means the time frame during which specified illnesses/treatments are not covered.,Note: related exclusion language was also found in Clause 3.2 among the retrieved evidence -- review it before relying on this answer.,Definitional lookup
How is a pre-existing disease defined?,Eligibility,Covered,1.2,False,Covered,1.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.011770963668823242,4.0038909912109375,4.021357297897339,3,307,49,163,"A pre-existing disease is defined as any condition, ailment, injury or disease diagnosed by a physician within 48 months prior to the effective date of the policy.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
What exclusions apply to this policy?,Ambiguous,Explicitly Excluded,4.1|4.2(a)|4.2(b)|4.2(c)|4.3,False,Explicitly Excluded,4.2(a),Verified Evidence,True,True,True,True,True,True,Correct,,0.017728805541992188,2.3126163482666016,2.3304216861724854,3,263,28,62,Routine dental check-ups and cleaning are explicitly excluded.,Validated.,"Broad question, any Section 4 clause acceptable"
What medical treatments are covered under this policy?,Ambiguous,Covered,2.1|2.2|2.3,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.012491226196289062,3.7010445594787598,3.7155261039733887,3,297,45,148,"Day Care Treatment: Medical treatment and/or surgical procedures listed in Annexure A, requiring less than 24 hours of hospitalisation, are covered.","Note: related exclusion language was also found in Clause 4.3, 4.2(c) among the retrieved evidence -- review it before relying on this answer.","Broad question, multiple valid answers"
Does this policy cover space travel?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.012260675430297852,3.263770580291748,3.279078245162964,3,293,38,129,"The policy does not explicitly mention space travel, so there is insufficient evidence to determine if it covers such activities.",Validated.,
Is maternity care covered under this policy?,Unsupported,Not Mentioned,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.017399311065673828,5.476226568222046,5.494123458862305,3,310,66,313,"The evidence provided does not mention maternity care specifically. While hospitalisation expenses are covered, there is no explicit coverage for day care treatments or pre-existing conditions that might include maternity care. Therefore, the status cannot be determined with certainty from the given information.",Validated.,
Does the policy include international travel insurance?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.015416145324707031,2.8091020584106445,2.8260133266448975,3,296,26,70,The provided evidence does not mention international travel insurance.,Validated.,
Is pet insurance included?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.019009113311767578,2.595064401626587,2.606088876724243,3,292,27,68,The provided evidence does not mention anything about pet insurance.,Validated.,
What is the claim settlement ratio of this insurer?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.021697044372558594,5.708394289016724,5.724825382232666,3,297,57,231,"The question ""What is the claim settlement ratio of this insurer?"" cannot be answered with the given evidence. The provided information only discusses policy terms and does not include any data on claim settlements or their ratios.",Validated.,Real-world insurer info the document itself would not contain
Does this policy cover COVID-19 treatment?,Unsupported,Not Mentioned,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.01803421974182129,3.6174893379211426,3.6312060356140137,3,314,42,138,"The policy does not explicitly mention COVID-19 treatment. Therefore, there is insufficient evidence to determine if the policy covers it.",Validated.,
Is there a maternity benefit waiting period?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.013083696365356445,2.8935062885284424,2.9093692302703857,3,301,30,89,There is no specific maternity benefit waiting period mentioned in the provided evidence.,Validated.,
What is the maximum amount payable for hospitalisation expenses?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,0.019762754440307617,3.125382423400879,3.141911268234253,3,309,31,95,The evidence provided does not specify the maximum amount payable for hospitalisation expenses.,Validated.,Policy never states a monetary limit
What is covered under this policy for accidents?,Ambiguous,Insufficient Evidence,2.3|4.1|4.3,True,Insufficient Evidence,4.3,Limited Evidence,True,True,True,False,True,True,Appropriate Abstention,,0.0187380313873291,2.6346781253814697,2.653676748275757,3,290,26,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",Accident-exception clauses are scattered across sections
Can I claim for a pre-existing condition immediately after buying this policy?,Waiting Period,Covered,3.1,False,Insufficient Evidence,,Insufficient Evidence,True,False,False,False,True,True,Incorrect Abstention,Generation Failure,0.020235776901245117,4.038394212722778,4.056180238723755,3,327,55,246,"The evidence provided does not explicitly state whether pre-existing conditions are covered or excluded. Therefore, there is insufficient information to determine if you can claim for a pre-existing condition immediately after buying this policy.",Validated.,Correct answer explains the 48-month waiting period applies
Are dentures covered?,Exclusion,Explicitly Excluded,4.2(c),False,Not Mentioned,,Insufficient Evidence,True,False,False,True,True,True,Wrong-but-Confident,Guardrail Failure,0.020566225051879883,2.1587276458740234,2.1735148429870605,3,281,19,21,Insufficient Evidence,Validated.,'Dentures' is explicitly named in the exclusion language
What if I need emergency dental surgery after a car accident?,Exception,Covered,2.3,False,Explicitly Excluded,2.3,Verified Evidence,True,False,True,True,True,True,Wrong-but-Confident,Guardrail Failure,0.021734952926635742,3.9775145053863525,3.9897634983062744,3,283,57,214,"Dental treatment is covered only if necessitated by an accidental bodily injury requiring hospitalisation. Routine dental treatment, including fillings, extractions, and dentures, is not covered under this Section.",Validated.,Accident-caused dental treatment is covered per 2.3
Is there a limit on the number of claims I can make?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,False,True,True,True,True,True,Validation Failure,Generation Failure,0.01659846305847168,3.1277384757995605,3.1415860652923584,3,320,29,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",Model gave status 'Covered' without citing any evidence_id.,Policy does not specify a claim-count limit
Does cosmetic surgery after an accident get covered?,Exception,Covered,4.1,False,Explicitly Excluded,4.1,Verified Evidence,True,False,True,True,True,True,Wrong-but-Confident,Guardrail Failure,0.011883020401000977,3.3800787925720215,3.3973968029022217,3,312,35,102,"Yes, cosmetic or plastic surgery is explicitly excluded unless required to treat an accidental injury.",Validated.,The accident exception within the exclusion clause carves out coverage
What is the day care treatment waiting period?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,False,True,True,True,True,True,Validation Failure,Generation Failure,0.013651132583618164,3.7026207447052,3.7205588817596436,3,304,44,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",Model gave status 'Covered' without citing any evidence_id.,No waiting period is stated specifically for day care treatment
