question,category,expected_status,expected_clause_number,should_abstain,actual_status,actual_clause_number,confidence_label,validation_passed,status_correct,citation_correct,key_facts_ok,retrieval_correct,evidence_selection_correct,classification,failure_stage,retrieval_time_seconds,llm_time_seconds,total_time_seconds,retrieved_chunk_count,prompt_tokens,completion_tokens,answer_char_count,answer_text,reliability_note,notes
What dental treatments are not covered?,Exclusion,Explicitly Excluded,4.2(c)|4.2(a),False,Explicitly Excluded,2.3,Verified Evidence,True,True,False,True,True,True,Citation Failure,Citation Failure,0.01758718490600586,3.533684492111206,3.5480237007141113,3,283,40,107,"Routine dental treatment, including fillings, extractions, and dentures, is not covered under this Section.",Validated.,
Is there a waiting period for pre-existing conditions?,Waiting Period,Covered,3.1,False,Covered,3.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.022235631942749023,3.7370903491973877,3.7493135929107666,3,309,34,73,"Yes, there is a waiting period of 48 months for any Pre-Existing Disease.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
How long do I have to wait before pre-existing disease treatment is covered?,Waiting Period,Covered,3.1,False,Covered,3.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.027085304260253906,3.0800909996032715,3.1009557247161865,3,324,37,114,"The waiting period for pre-existing disease treatment is 48 months, measured from the first policy inception date.",Validated.,Paraphrase
What is the initial waiting period for illnesses?,Waiting Period,Covered,3.2,False,Covered,3.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.02222919464111328,3.593729019165039,3.612945079803467,3,302,33,90,"The initial waiting period for illnesses is 30 days, except claims arising from accidents.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
Is there a waiting period before any claims can be made?,Waiting Period,Covered,3.2,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,False,True,True,Validation Failure,Guardrail Failure,0.022476673126220703,3.7701830863952637,3.7852401733398438,3,319,39,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.","evidence_id 'E1,E2' was not among the evidence supplied to the model.","Paraphrase, no keyword overlap"
What is the waiting period for cataract surgery?,Waiting Period,Covered,3.3,False,Covered,3.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.022883892059326172,2.900625705718994,2.915443181991577,3,305,29,53,The waiting period for cataract surgery is 24 months.,Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
Is there a waiting period for hernia treatment?,Waiting Period,Covered,3.3,False,Covered,3.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.017541885375976562,3.202927350997925,3.2175800800323486,3,304,42,109,"Yes, there is a waiting period of 24 months for treatment of cataract, hernia, and joint replacement surgery.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,Paraphrase
Are joint replacement surgeries covered immediately after buying the policy?,Waiting Period,Insufficient Evidence,3.3,True,Insufficient Evidence,,Insufficient Evidence,True,True,False,False,True,True,Appropriate Abstention,,0.019748449325561523,3.4664807319641113,3.4816532135009766,3,312,35,132,The evidence provided does not explicitly state whether joint replacement surgeries are covered immediately after buying the policy.,Validated.,"Correct answer must explain the waiting period, not a flat yes/no"
What happens if I make a claim during the first year?,Exception,Explicitly Excluded,4.3,False,Insufficient Evidence,4.3,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.019442319869995117,3.223242998123169,3.238374710083008,3,316,42,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",
Are claims payable if I get sick within 90 days of buying the policy?,Exception,Explicitly Excluded,4.3,False,Insufficient Evidence,4.3,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.016097307205200195,2.6731908321380615,2.6896300315856934,3,324,37,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",Paraphrase
"If I have an accident in the first month, is the claim payable?",Exception,Covered,4.3,False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.01746964454650879,2.418992519378662,2.4351754188537598,3,304,36,110,The evidence provided does not explicitly state whether a claim is payable for an accident in the first month.,Validated.,Accident exception carves coverage out of the first-year exclusion
Who is considered an insured person under this policy?,Eligibility,Covered,1.1,False,Covered,1.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.019557952880859375,3.07919979095459,3.0947747230529785,3,298,34,98,The Insured Person means the person named in the policy schedule who is covered under this policy.,Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,
What does waiting period mean in this policy?,Eligibility,Covered,1.3,False,Covered,1.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.0203249454498291,3.0962328910827637,3.110722541809082,3,302,35,118,The waiting period in this policy means the time frame during which specified illnesses or treatments are not covered.,Note: related exclusion language was also found in Clause 3.2 among the retrieved evidence -- review it before relying on this answer.,Definitional lookup
How is a pre-existing disease defined?,Eligibility,Covered,1.2,False,Covered,1.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.015400171279907227,4.014283657073975,4.029664039611816,3,307,49,163,"A pre-existing disease is defined as any condition, ailment, injury or disease diagnosed by a physician within 48 months prior to the effective date of the policy.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
What exclusions apply to this policy?,Ambiguous,Explicitly Excluded,4.1|4.2(a)|4.2(b)|4.2(c)|4.3,False,Explicitly Excluded,4.2(a),Verified Evidence,True,True,True,True,True,True,Correct,,0.019427061080932617,2.289025068283081,2.303231954574585,3,263,28,62,Routine dental check-ups and cleaning are explicitly excluded.,Validated.,"Broad question, any Section 4 clause acceptable"
What medical treatments are covered under this policy?,Ambiguous,Covered,2.1|2.2|2.3,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.0180513858795166,3.6783478260040283,3.693617820739746,3,297,45,148,"Day Care Treatment: Medical treatment and/or surgical procedures listed in Annexure A, requiring less than 24 hours of hospitalisation, are covered.","Note: related exclusion language was also found in Clause 4.3, 4.2(c) among the retrieved evidence -- review it before relying on this answer.","Broad question, multiple valid answers"
Does this policy cover space travel?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.01684880256652832,3.2397844791412354,3.2534213066101074,3,293,38,129,"The policy does not explicitly mention space travel, so there is insufficient evidence to determine if it covers such activities.",Validated.,
Is maternity care covered under this policy?,Unsupported,Not Mentioned,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.01988673210144043,4.786315441131592,4.8062567710876465,3,310,64,298,"The evidence provided does not mention maternity care specifically. While hospitalisation expenses are covered, there is no explicit coverage for day care treatments or pre-existing conditions that might include maternity care. Therefore, the status cannot be determined with the given information.",Validated.,
Does the policy include international travel insurance?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.020798444747924805,2.7557778358459473,2.7693686485290527,3,296,26,70,The provided evidence does not mention international travel insurance.,Validated.,
Is pet insurance included?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.018522977828979492,2.666550636291504,2.6813483238220215,3,292,27,68,The provided evidence does not mention anything about pet insurance.,Validated.,
What is the claim settlement ratio of this insurer?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.01847672462463379,3.633230686187744,3.6491281986236572,3,297,52,211,"The question ""What is the claim settlement ratio of this insurer?"" cannot be answered with the provided evidence. The evidence does not contain any information about insurance claims or claim settlements ratios.",Validated.,Real-world insurer info the document itself would not contain
Does this policy cover COVID-19 treatment?,Unsupported,Not Mentioned,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.01394796371459961,3.1998167037963867,3.2165799140930176,3,314,30,71,The policy does not explicitly mention coverage for COVID-19 treatment.,Validated.,
Is there a maternity benefit waiting period?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.020201444625854492,3.6495814323425293,3.6639339923858643,3,301,32,92,There is no explicit mention of a maternity benefit waiting period in the provided evidence.,Validated.,
What is the maximum amount payable for hospitalisation expenses?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,0.020534992218017578,3.8215160369873047,3.8347678184509277,3,309,31,95,The evidence provided does not specify the maximum amount payable for hospitalisation expenses.,Validated.,Policy never states a monetary limit
What is covered under this policy for accidents?,Ambiguous,Insufficient Evidence,2.3|4.1|4.3,True,Insufficient Evidence,4.3,Limited Evidence,True,True,True,False,True,True,Appropriate Abstention,,0.021488428115844727,2.7889842987060547,2.8071610927581787,3,290,26,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",Accident-exception clauses are scattered across sections
Can I claim for a pre-existing condition immediately after buying this policy?,Waiting Period,Covered,3.1,False,Insufficient Evidence,,Insufficient Evidence,True,False,False,False,True,True,Incorrect Abstention,Generation Failure,0.023877620697021484,4.8462629318237305,4.86311411857605,3,327,55,246,"The evidence provided does not explicitly state whether pre-existing conditions are covered or excluded. Therefore, there is insufficient information to determine if you can claim for a pre-existing condition immediately after buying this policy.",Validated.,Correct answer explains the 48-month waiting period applies
Are dentures covered?,Exclusion,Explicitly Excluded,4.2(c),False,Not Mentioned,,Insufficient Evidence,True,False,False,True,True,True,Wrong-but-Confident,Generation Failure,0.017043352127075195,2.5908477306365967,2.607571601867676,3,281,19,21,Insufficient Evidence,Validated.,'Dentures' is explicitly named in the exclusion language
What if I need emergency dental surgery after a car accident?,Exception,Covered,2.3,False,Explicitly Excluded,2.3,Verified Evidence,True,False,True,True,True,True,Wrong-but-Confident,Generation Failure,0.018385648727416992,5.436213731765747,5.495352029800415,3,283,57,214,"Dental treatment is covered only if necessitated by an accidental bodily injury requiring hospitalisation. Routine dental treatment, including fillings, extractions, and dentures, is not covered under this Section.",Validated.,Accident-caused dental treatment is covered per 2.3
Is there a limit on the number of claims I can make?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,False,True,True,True,True,True,Validation Failure,Guardrail Failure,0.013545036315917969,3.319437026977539,3.3337533473968506,3,320,29,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",Model gave status 'Covered' without citing any evidence_id.,Policy does not specify a claim-count limit
Does cosmetic surgery after an accident get covered?,Exception,Covered,4.1,False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.018716096878051758,3.250562906265259,3.2697901725769043,3,312,32,102,The evidence provided does not explicitly state whether cosmetic surgery is covered after an accident.,Validated.,The accident exception within the exclusion clause carves out coverage
What is the day care treatment waiting period?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,False,True,True,True,True,True,Validation Failure,Guardrail Failure,0.015689373016357422,3.7702388763427734,3.790501832962036,3,304,44,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",Model gave status 'Covered' without citing any evidence_id.,No waiting period is stated specifically for day care treatment
