question,category,expected_status,expected_clause_number,should_abstain,actual_status,actual_clause_number,confidence_label,validation_passed,status_correct,citation_correct,key_facts_ok,retrieval_correct,evidence_selection_correct,classification,failure_stage,retrieval_time_seconds,llm_time_seconds,total_time_seconds,retrieved_chunk_count,prompt_tokens,completion_tokens,answer_char_count,answer_text,reliability_note,notes
What dental treatments are not covered?,Exclusion,Explicitly Excluded,4.2(c)|4.2(a)|2.3,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,True,True,True,Validation Failure,Generation Failure,0.46039485931396484,7.8739941120147705,8.270326375961304,3,283.0,40.0,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",Model gave status 'Covered' without citing any evidence_id.,"Clause 2.3 also states this exclusion directly (the policy repeats it in two places) -- citing it is genuinely correct, not a citation error"
Is there a waiting period for pre-existing conditions?,Waiting Period,Covered,3.1,False,Covered,3.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.5203201770782471,9.687658786773682,9.713316440582275,3,309.0,36.0,94,"Yes, there is a 48-month waiting period for pre-existing conditions as stated in the evidence.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
How long do I have to wait before pre-existing disease treatment is covered?,Waiting Period,Covered,3.1,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,False,True,True,Validation Failure,Generation Failure,0.38886475563049316,7.10444974899292,7.487532377243042,3,324.0,37.0,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",evidence_id '[E1]' was not among the evidence supplied to the model.,Paraphrase
What is the initial waiting period for illnesses?,Waiting Period,Covered,3.2,False,Covered,3.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.31746530532836914,11.104294776916504,11.333784341812134,3,302.0,39.0,121,"The initial waiting period for illnesses is 30 days from the policy start date, except for claims arising from accidents.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
Is there a waiting period before any claims can be made?,Waiting Period,Covered,3.2,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,False,True,True,Validation Failure,Generation Failure,0.33100271224975586,13.5300452709198,14.563598871231079,3,319.0,43.0,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",evidence_id '[E1]' was not among the evidence supplied to the model.,"Paraphrase, no keyword overlap"
What is the waiting period for cataract surgery?,Waiting Period,Covered,3.3,False,Covered,3.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.07744789123535156,6.707781553268433,6.786675930023193,3,305.0,29.0,53,The waiting period for cataract surgery is 24 months.,Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
Is there a waiting period for hernia treatment?,Waiting Period,Covered,3.3,False,Covered,3.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.0937497615814209,8.930483341217041,9.075061798095703,3,304.0,43.0,138,"The evidence indicates a 24-month waiting period applies specifically to hernia treatment, so there is indeed a waiting period for hernia.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,Paraphrase
Are joint replacement surgeries covered immediately after buying the policy?,Waiting Period,Insufficient Evidence,3.3,True,Insufficient Evidence,,Insufficient Evidence,True,True,False,True,True,True,Appropriate Abstention,,0.534329891204834,9.45133113861084,9.529028177261353,3,312.0,42.0,129,"The policy has a 24-month waiting period for joint replacement surgery, so it is not covered immediately after buying the policy.",Validated.,"Correct answer must explain the waiting period, not a flat yes/no"
What happens if I make a claim during the first year?,Exception,Explicitly Excluded,4.3,False,Insufficient Evidence,4.3,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.15874123573303223,7.3948493003845215,7.411062955856323,3,316.0,39.0,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",
Are claims payable if I get sick within 90 days of buying the policy?,Exception,Explicitly Excluded,4.3,False,Explicitly Excluded,4.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.5741429328918457,6.986027240753174,7.047872304916382,3,324.0,44.0,140,"Claims arising from an accident are excluded, but no claims for illnesses first diagnosed within 90 days of policy commencement are payable.",Validated.,Paraphrase
"If I have an accident in the first month, is the claim payable?",Exception,Covered,4.3,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,False,True,True,Validation Failure,Generation Failure,0.15693402290344238,6.125138521194458,6.142956018447876,3,304.0,39.0,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",evidence_id '[E1]' was not among the evidence supplied to the model.,Accident exception carves coverage out of the first-year exclusion
Who is considered an insured person under this policy?,Eligibility,Covered,1.1,False,Covered,1.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.747969388961792,10.798554182052612,10.848755598068237,3,298.0,33.0,99,The insured person is the one named in the policy schedule and covered under this insurance policy.,Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,
What does waiting period mean in this policy?,Eligibility,Covered,1.3,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,True,True,True,Validation Failure,Generation Failure,0.0424342155456543,7.111382484436035,7.1554131507873535,3,302.0,37.0,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",evidence_id '[E1]' was not among the evidence supplied to the model.,Definitional lookup
How is a pre-existing disease defined?,Eligibility,Covered,1.2,False,Covered,1.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.4336428642272949,9.111023187637329,9.199811458587646,3,307.0,47.0,152,"A pre-existing disease is any condition, ailment, injury or disease diagnosed by a physician within 48 months prior to the effective date of the policy.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
What exclusions apply to this policy?,Ambiguous,Explicitly Excluded,4.1|4.2(a)|4.2(b)|4.2(c)|4.3,False,Explicitly Excluded,4.2(a),Verified Evidence,True,True,True,True,True,True,Correct,,0.10014748573303223,5.366044998168945,5.461750268936157,3,263.0,29.0,69,The policy explicitly excludes routine dental check-ups and cleaning.,Validated.,"Broad question, any Section 4 clause acceptable"
What medical treatments are covered under this policy?,Ambiguous,Covered,2.1|2.2|2.3,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,True,True,True,Validation Failure,Generation Failure,0.05849957466125488,7.119399070739746,7.173310279846191,3,297.0,42.0,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",evidence_id '[E1]' was not among the evidence supplied to the model.,"Broad question, multiple valid answers"
Does this policy cover space travel?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.09769392013549805,7.962695360183716,7.99897837638855,3,293.0,41.0,132,"The policy does not mention space travel or any specific medical expenses related to it, so there is no clear coverage or exclusion.",Validated.,
Is maternity care covered under this policy?,Unsupported,Not Mentioned,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.2077314853668213,7.434107542037964,7.4441468715667725,3,310.0,37.0,125,"The evidence does not mention maternity care or any specific medical treatments, only hospitalisation and day care treatment.",Validated.,
Does the policy include international travel insurance?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.1206822395324707,8.244409799575806,8.261213541030884,3,296.0,33.0,108,The evidence does not mention international travel or provide any information about coverage for such trips.,Validated.,
Is pet insurance included?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.03742265701293945,6.952310800552368,6.981358766555786,3,292.0,30.0,78,The evidence does not mention pet insurance or any specific coverage for pets.,Validated.,
What is the claim settlement ratio of this insurer?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.0794074535369873,6.494864225387573,6.513580083847046,3,297.0,33.0,104,The provided evidence does not contain any information about the claim settlement ratio of this insurer.,Validated.,Real-world insurer info the document itself would not contain
Does this policy cover COVID-19 treatment?,Unsupported,Not Mentioned,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.07693767547607422,9.962817192077637,9.990580081939697,3,314.0,43.0,145,"The evidence does not provide information about coverage for COVID-19 or any specific pre-existing conditions, waiting periods, or claims limits.",Validated.,
Is there a maternity benefit waiting period?,Unsupported,No Evidence Found,NONE,True,Not Mentioned,,Insufficient Evidence,True,False,True,True,True,True,Wrong-but-Confident,Guardrail Failure,0.0739293098449707,8.87661099433899,9.030951976776123,3,301.0,31.0,83,There is no mention of a maternity benefit waiting period in the provided evidence.,Validated.,
What is the maximum amount payable for hospitalisation expenses?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,0.0670783519744873,9.549907445907593,9.566251277923584,3,309.0,35.0,104,"The evidence does not specify a maximum amount for hospitalisation expenses, only that they are covered.",Validated.,Policy never states a monetary limit
What is covered under this policy for accidents?,Ambiguous,Insufficient Evidence,2.3|4.1|4.3,True,Insufficient Evidence,,Insufficient Evidence,False,True,False,False,True,True,Validation Failure,Generation Failure,0.051694631576538086,11.67739748954773,11.786999940872192,3,290.0,51.0,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",evidence_id '[E1]' was not among the evidence supplied to the model.,Accident-exception clauses are scattered across sections
Can I claim for a pre-existing condition immediately after buying this policy?,Waiting Period,Covered,3.1,False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.48283839225769043,12.383967876434326,12.42525315284729,3,327.0,45.0,136,"The policy has a 48-month waiting period for pre-existing conditions, but the exact timing of when you can claim is not clearly defined.",Validated.,Correct answer explains the 48-month waiting period applies
Are dentures covered?,Exclusion,Explicitly Excluded,4.2(c),False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.09503030776977539,7.095646381378174,7.111327648162842,3,281.0,39.0,141,"The evidence does not specify whether dentures are covered or excluded, only mentioning that routine dental treatment is explicitly excluded.",Validated.,'Dentures' is explicitly named in the exclusion language
What if I need emergency dental surgery after a car accident?,Exception,Covered,2.3,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,False,True,True,Validation Failure,Generation Failure,0.1539626121520996,6.886908769607544,6.950758934020996,3,283.0,41.0,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",evidence_id '[E1]' was not among the evidence supplied to the model.,Accident-caused dental treatment is covered per 2.3
Is there a limit on the number of claims I can make?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,0.07558774948120117,12.539426326751709,12.598705768585205,3,320.0,35.0,97,The evidence does not provide any information about a limit on the number of claims you can make.,Validated.,Policy does not specify a claim-count limit
Does cosmetic surgery after an accident get covered?,Exception,Covered,4.1,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,False,True,True,Validation Failure,Generation Failure,0.0253751277923584,11.00864577293396,11.090707540512085,3,312.0,36.0,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",evidence_id '[E1]' was not among the evidence supplied to the model.,The accident exception within the exclusion clause carves out coverage
What is the day care treatment waiting period?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,0.0230863094329834,9.60217809677124,9.624252796173096,3,304.0,30.0,79,The evidence does not specify a waiting period for day care treatment coverage.,Validated.,No waiting period is stated specifically for day care treatment
