question,category,expected_status,expected_clause_number,should_abstain,actual_status,actual_clause_number,confidence_label,validation_passed,status_correct,citation_correct,key_facts_ok,retrieval_correct,evidence_selection_correct,classification,failure_stage,retrieval_time_seconds,llm_time_seconds,total_time_seconds,retrieved_chunk_count,prompt_tokens,completion_tokens,answer_char_count,answer_text,reliability_note,notes
What dental treatments are not covered?,Exclusion,Explicitly Excluded,4.2(c)|4.2(a)|2.3,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,True,True,True,Validation Failure,Generation Failure,0.02093791961669922,6.1271302700042725,6.1476616859436035,3,283,40,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",Model gave status 'Covered' without citing any evidence_id.,"Clause 2.3 also states this exclusion directly (the policy repeats it in two places) -- citing it is genuinely correct, not a citation error"
Is there a waiting period for pre-existing conditions?,Waiting Period,Covered,3.1,False,Covered,3.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.0193328857421875,6.417589902877808,6.433733224868774,3,309,36,94,"Yes, there is a 48-month waiting period for pre-existing conditions as stated in the evidence.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
How long do I have to wait before pre-existing disease treatment is covered?,Waiting Period,Covered,3.1,False,Covered,3.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.024174928665161133,6.377718448638916,6.396995544433594,3,324,52,183,"The waiting period for pre-existing diseases is 48 months from the first policy inception date, covering any condition diagnosed within 48 months prior to the policy's effective date.",Validated.,Paraphrase
What is the initial waiting period for illnesses?,Waiting Period,Covered,3.2,False,Covered,3.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.012216806411743164,6.753576278686523,6.7685227394104,3,302,39,121,"The initial waiting period for illnesses is 30 days from the policy start date, except for claims arising from accidents.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
Is there a waiting period before any claims can be made?,Waiting Period,Covered,3.2,False,Insufficient Evidence,4.3,Limited Evidence,True,False,False,False,True,True,Incorrect Abstention,Generation Failure,0.017829179763793945,7.4613542556762695,7.473586559295654,3,319,43,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.","Paraphrase, no keyword overlap"
What is the waiting period for cataract surgery?,Waiting Period,Covered,3.3,False,Covered,3.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.01726984977722168,5.629305839538574,5.6474223136901855,3,305,29,53,The waiting period for cataract surgery is 24 months.,Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
Is there a waiting period for hernia treatment?,Waiting Period,Covered,3.3,False,Covered,3.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.015547513961791992,5.667876720428467,5.68178391456604,3,304,38,107,"The evidence indicates a 24-month waiting period for hernia treatment, so there is indeed a waiting period.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,Paraphrase
Are joint replacement surgeries covered immediately after buying the policy?,Waiting Period,Insufficient Evidence,3.3,True,Insufficient Evidence,,Insufficient Evidence,True,True,False,True,True,True,Appropriate Abstention,,0.024359464645385742,7.270824432373047,7.288330078125,3,312,42,129,"The policy has a 24-month waiting period for joint replacement surgery, so it is not covered immediately after buying the policy.",Validated.,"Correct answer must explain the waiting period, not a flat yes/no"
What happens if I make a claim during the first year?,Exception,Explicitly Excluded,4.3,False,Insufficient Evidence,4.3,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.016697406768798828,6.249131917953491,6.264961004257202,3,316,39,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",
Are claims payable if I get sick within 90 days of buying the policy?,Exception,Explicitly Excluded,4.3,False,Explicitly Excluded,4.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.017737627029418945,5.454782247543335,5.471021890640259,3,324,39,116,"No, claims for illnesses first diagnosed within 90 days of policy commencement are explicitly excluded from payment.",Validated.,Paraphrase
"If I have an accident in the first month, is the claim payable?",Exception,Covered,4.3,False,Insufficient Evidence,4.3,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.0206296443939209,4.891750812530518,4.907896041870117,3,304,39,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",Accident exception carves coverage out of the first-year exclusion
Who is considered an insured person under this policy?,Eligibility,Covered,1.1,False,Covered,1.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.017855405807495117,6.370934009552002,6.387128591537476,3,298,33,99,The insured person is the one named in the policy schedule and covered under this insurance policy.,Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,
What does waiting period mean in this policy?,Eligibility,Covered,1.3,False,Insufficient Evidence,1.3,Insufficient Evidence,False,False,True,True,True,True,Validation Failure,Generation Failure,0.013314008712768555,6.354419708251953,6.366844654083252,3,302,37,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.",Downgraded: the answer contains number(s) not found in the cited evidence (1) -- possible unsupported claim.,Definitional lookup
How is a pre-existing disease defined?,Eligibility,Covered,1.2,False,Covered,1.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.021270036697387695,7.612760305404663,7.628284931182861,3,307,47,152,"A pre-existing disease is any condition, ailment, injury or disease diagnosed by a physician within 48 months prior to the effective date of the policy.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
What exclusions apply to this policy?,Ambiguous,Explicitly Excluded,4.1|4.2(a)|4.2(b)|4.2(c)|4.3,False,Explicitly Excluded,4.2(a),Verified Evidence,True,True,True,True,True,True,Correct,,0.021605730056762695,5.040878772735596,5.058693170547485,3,263,29,69,The policy explicitly excludes routine dental check-ups and cleaning.,Validated.,"Broad question, any Section 4 clause acceptable"
What medical treatments are covered under this policy?,Ambiguous,Covered,2.1|2.2|2.3,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.019422054290771484,6.738526821136475,6.757411956787109,3,297,41,120,"Medical treatments listed in Annexure A, requiring less than 24 hours of hospitalization, are covered under this policy.","Note: related exclusion language was also found in Clause 4.3, 4.2(c) among the retrieved evidence -- review it before relying on this answer.","Broad question, multiple valid answers"
Does this policy cover space travel?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.014474630355834961,6.653131484985352,6.66915225982666,3,293,41,132,"The policy does not mention space travel or any specific medical expenses related to it, so there is no clear coverage or exclusion.",Validated.,
Is maternity care covered under this policy?,Unsupported,Not Mentioned,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.013771772384643555,6.728896141052246,6.742446184158325,3,310,36,117,"The evidence does not mention maternity care or any specific treatments, only hospitalisation and day care treatment.",Validated.,
Does the policy include international travel insurance?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.021582841873168945,6.422441482543945,6.438298225402832,3,296,37,124,"The evidence does not mention international travel or any coverage for it, only hospitalization expenses within the country.",Validated.,
Is pet insurance included?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.018314838409423828,5.685582399368286,5.704177618026733,3,292,30,78,The evidence does not mention pet insurance or any specific coverage for pets.,Validated.,
What is the claim settlement ratio of this insurer?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.021392107009887695,5.103486776351929,5.119810581207275,3,297,33,104,The provided evidence does not contain any information about the claim settlement ratio of this insurer.,Validated.,Real-world insurer info the document itself would not contain
Does this policy cover COVID-19 treatment?,Unsupported,Not Mentioned,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.016919612884521484,7.98248291015625,7.994394063949585,3,314,49,179,"The evidence does not provide information about coverage for COVID-19 or any specific pre-existing conditions, only details on waiting periods and claims in the first policy year.",Validated.,
Is there a maternity benefit waiting period?,Unsupported,No Evidence Found,NONE,True,Not Mentioned,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.01817488670349121,5.973883152008057,5.9874491691589355,3,301,31,83,There is no mention of a maternity benefit waiting period in the provided evidence.,Validated.,
What is the maximum amount payable for hospitalisation expenses?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,0.019248247146606445,6.265105724334717,6.278589248657227,3,309,30,81,The policy covers hospitalisation expenses but does not specify a maximum amount.,Validated.,Policy never states a monetary limit
What is covered under this policy for accidents?,Ambiguous,Insufficient Evidence,2.3|4.1|4.3,True,Insufficient Evidence,4.3,Limited Evidence,True,True,True,False,True,True,Appropriate Abstention,,0.013779401779174805,8.315406560897827,8.33006501197815,3,290,51,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",Accident-exception clauses are scattered across sections
Can I claim for a pre-existing condition immediately after buying this policy?,Waiting Period,Covered,3.1,False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.020662784576416016,7.594339609146118,7.614886283874512,3,327,45,136,"The policy has a 48-month waiting period for pre-existing conditions, but the exact timing of when you can claim is not clearly defined.",Validated.,Correct answer explains the 48-month waiting period applies
Are dentures covered?,Exclusion,Explicitly Excluded,4.2(c),False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.01365518569946289,7.064562082290649,7.080370187759399,3,281,45,176,"The evidence does not provide clear information on whether dentures are covered or excluded, only mentioning that routine dental check-ups and cleaning are explicitly excluded.",Validated.,'Dentures' is explicitly named in the exclusion language
What if I need emergency dental surgery after a car accident?,Exception,Covered,2.3,False,Insufficient Evidence,4.2(c),Limited Evidence,True,False,False,False,True,True,Incorrect Abstention,Generation Failure,0.02526116371154785,6.4829936027526855,6.502464294433594,3,283,41,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.2(c)) is from an exclusions section, which is not positive evidence of coverage.",Accident-caused dental treatment is covered per 2.3
Is there a limit on the number of claims I can make?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,0.015709400177001953,6.825135707855225,6.8454694747924805,3,320,35,97,The evidence does not provide any information about a limit on the number of claims you can make.,Validated.,Policy does not specify a claim-count limit
Does cosmetic surgery after an accident get covered?,Exception,Covered,4.1,False,Insufficient Evidence,4.1,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.01846146583557129,6.682110548019409,6.701277732849121,3,312,36,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.1) is from an exclusions section, which is not positive evidence of coverage.",The accident exception within the exclusion clause carves out coverage
What is the day care treatment waiting period?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,0.01840686798095703,6.13533353805542,6.153541803359985,3,304,30,79,The evidence does not specify a waiting period for day care treatment coverage.,Validated.,No waiting period is stated specifically for day care treatment
