question,category,expected_status,expected_clause_number,should_abstain,actual_status,actual_clause_number,confidence_label,validation_passed,status_correct,citation_correct,key_facts_ok,retrieval_correct,evidence_selection_correct,classification,failure_stage,retrieval_time_seconds,llm_time_seconds,total_time_seconds,retrieved_chunk_count,prompt_tokens,completion_tokens,answer_char_count,answer_text,reliability_note,notes
What dental treatments are not covered?,Exclusion,Explicitly Excluded,4.2(c)|4.2(a),False,Explicitly Excluded,2.3,Verified Evidence,True,True,False,True,True,True,Citation Failure,Citation Failure,0.01512002944946289,3.128390073776245,3.1431844234466553,3,283,40,107,"Routine dental treatment, including fillings, extractions, and dentures, is not covered under this Section.",Validated.,
Is there a waiting period for pre-existing conditions?,Waiting Period,Covered,3.1,False,Covered,3.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.017397403717041016,3.0946266651153564,3.1136858463287354,3,309,34,73,"Yes, there is a waiting period of 48 months for any Pre-Existing Disease.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
How long do I have to wait before pre-existing disease treatment is covered?,Waiting Period,Covered,3.1,False,Covered,3.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.019452333450317383,2.4746453762054443,2.4938387870788574,3,324,37,114,"The waiting period for pre-existing disease treatment is 48 months, measured from the first policy inception date.",Validated.,Paraphrase
What is the initial waiting period for illnesses?,Waiting Period,Covered,3.2,False,Covered,3.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.013205528259277344,3.046858549118042,3.062227487564087,3,302,33,90,"The initial waiting period for illnesses is 30 days, except claims arising from accidents.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
Is there a waiting period before any claims can be made?,Waiting Period,Covered,3.2,False,Insufficient Evidence,,Insufficient Evidence,True,False,False,False,True,True,Incorrect Abstention,Generation Failure,0.012493133544921875,3.2225570678710938,3.236686944961548,3,319,33,97,The evidence provided does not explicitly mention a waiting period before any claims can be made.,Validated.,"Paraphrase, no keyword overlap"
What is the waiting period for cataract surgery?,Waiting Period,Covered,3.3,False,Covered,3.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.014483213424682617,2.873138666152954,2.889211416244507,3,305,29,53,The waiting period for cataract surgery is 24 months.,Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
Is there a waiting period for hernia treatment?,Waiting Period,Covered,3.3,False,Covered,3.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.015213727951049805,3.1804044246673584,3.197624683380127,3,304,42,109,"Yes, there is a waiting period of 24 months for treatment of cataract, hernia, and joint replacement surgery.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,Paraphrase
Are joint replacement surgeries covered immediately after buying the policy?,Waiting Period,Insufficient Evidence,3.3,True,Insufficient Evidence,,Insufficient Evidence,True,True,False,False,True,True,Appropriate Abstention,,0.01828598976135254,3.193507671356201,3.212244987487793,3,312,35,132,The evidence provided does not explicitly state whether joint replacement surgeries are covered immediately after buying the policy.,Validated.,"Correct answer must explain the waiting period, not a flat yes/no"
What happens if I make a claim during the first year?,Exception,Explicitly Excluded,4.3,False,Insufficient Evidence,4.3,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.013035058975219727,2.735508680343628,2.7508790493011475,3,316,31,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",
Are claims payable if I get sick within 90 days of buying the policy?,Exception,Explicitly Excluded,4.3,False,Insufficient Evidence,4.3,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.011675834655761719,2.653801918029785,2.6662371158599854,3,324,37,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",Paraphrase
"If I have an accident in the first month, is the claim payable?",Exception,Covered,4.3,False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.018674612045288086,2.3998210430145264,2.4189183712005615,3,304,35,111,The evidence provided does not specify whether claims for accidents in the first month are covered or excluded.,Validated.,Accident exception carves coverage out of the first-year exclusion
Who is considered an insured person under this policy?,Eligibility,Covered,1.1,False,Covered,1.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.01272273063659668,3.045529842376709,3.064145088195801,3,298,34,98,The Insured Person means the person named in the policy schedule who is covered under this policy.,Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,
What does waiting period mean in this policy?,Eligibility,Covered,1.3,False,Covered,1.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.016941308975219727,3.0939507484436035,3.108297109603882,3,302,35,118,The waiting period in this policy means the time frame during which specified illnesses or treatments are not covered.,Note: related exclusion language was also found in Clause 3.2 among the retrieved evidence -- review it before relying on this answer.,Definitional lookup
How is a pre-existing disease defined?,Eligibility,Covered,1.2,False,Covered,1.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.013185501098632812,3.860092878341675,3.875300407409668,3,307,49,163,"A pre-existing disease is defined as any condition, ailment, injury or disease diagnosed by a physician within 48 months prior to the effective date of the policy.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
What exclusions apply to this policy?,Ambiguous,Explicitly Excluded,4.1|4.2(a)|4.2(b)|4.2(c)|4.3,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,True,True,True,Validation Failure,Generation Failure,0.018273353576660156,3.7619965076446533,3.780956983566284,3,263,56,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.","evidence_id 'E1, E3' was not among the evidence supplied to the model.","Broad question, any Section 4 clause acceptable"
What medical treatments are covered under this policy?,Ambiguous,Covered,2.1|2.2|2.3,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.018001317977905273,3.48836350440979,3.5069851875305176,3,297,45,148,"Day Care Treatment: Medical treatment and/or surgical procedures listed in Annexure A, requiring less than 24 hours of hospitalisation, are covered.","Note: related exclusion language was also found in Clause 4.3, 4.2(c) among the retrieved evidence -- review it before relying on this answer.","Broad question, multiple valid answers"
Does this policy cover space travel?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.010587453842163086,3.1227121353149414,3.1380460262298584,3,293,38,129,"The policy does not explicitly mention space travel, so there is insufficient evidence to determine if it covers such activities.",Validated.,
Is maternity care covered under this policy?,Unsupported,Not Mentioned,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.0174405574798584,4.0137999057769775,4.032073736190796,3,310,47,196,"The evidence provided does not mention maternity care specifically. While hospitalisation expenses are covered, the policy does not explicitly state whether maternity care is included or excluded.",Validated.,
Does the policy include international travel insurance?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.017071962356567383,2.709467887878418,2.729794502258301,3,296,26,70,The provided evidence does not mention international travel insurance.,Validated.,
Is pet insurance included?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.013339042663574219,2.5991382598876953,2.6117217540740967,3,292,27,68,The provided evidence does not mention anything about pet insurance.,Validated.,
What is the claim settlement ratio of this insurer?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.018210172653198242,3.4525978565216064,3.4709982872009277,3,297,51,204,"The question ""What is the claim settlement ratio of this insurer?"" cannot be answered with the provided evidence. The evidence does not contain any information about insurance claims or claim settlements.",Validated.,Real-world insurer info the document itself would not contain
Does this policy cover COVID-19 treatment?,Unsupported,Not Mentioned,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.011722564697265625,3.071629047393799,3.0861034393310547,3,314,30,71,The policy does not explicitly mention coverage for COVID-19 treatment.,Validated.,
Is there a maternity benefit waiting period?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.017818927764892578,3.0686798095703125,3.0867326259613037,3,301,32,92,There is no explicit mention of a maternity benefit waiting period in the provided evidence.,Validated.,
What is the maximum amount payable for hospitalisation expenses?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,0.01233983039855957,3.0416436195373535,3.0567612648010254,3,309,31,95,The evidence provided does not specify the maximum amount payable for hospitalisation expenses.,Validated.,Policy never states a monetary limit
What is covered under this policy for accidents?,Ambiguous,Insufficient Evidence,2.3|4.1|4.3,True,Insufficient Evidence,4.3,Limited Evidence,True,True,True,False,True,True,Appropriate Abstention,,0.012346744537353516,2.530478000640869,2.544907569885254,3,290,26,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",Accident-exception clauses are scattered across sections
Can I claim for a pre-existing condition immediately after buying this policy?,Waiting Period,Covered,3.1,False,Insufficient Evidence,,Insufficient Evidence,True,False,False,False,True,True,Incorrect Abstention,Generation Failure,0.014435529708862305,4.092960834503174,4.105978488922119,3,327,55,246,"The evidence provided does not explicitly state whether pre-existing conditions are covered or excluded. Therefore, there is insufficient information to determine if you can claim for a pre-existing condition immediately after buying this policy.",Validated.,Correct answer explains the 48-month waiting period applies
Are dentures covered?,Exclusion,Explicitly Excluded,4.2(c),False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.017061233520507812,2.8713395595550537,2.8866984844207764,3,281,32,95,The evidence provided does not specify whether dentures are covered under the insurance policy.,Validated.,'Dentures' is explicitly named in the exclusion language
What if I need emergency dental surgery after a car accident?,Exception,Covered,2.3,False,Insufficient Evidence,2.3,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.018722057342529297,3.9754719734191895,3.9938478469848633,3,283,57,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.",Downgraded from 'Explicitly Excluded': the cited clause (2.3) has a conditional exception ('necessitated by an accidental bodily injury requiring hospitalisation') that the question appears to describe (shared terms: accide) -- the exception may apply instead of the general rule.,Accident-caused dental treatment is covered per 2.3
Is there a limit on the number of claims I can make?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,False,True,True,True,True,True,Validation Failure,Generation Failure,0.018558025360107422,3.254849910736084,3.271458387374878,3,320,30,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",Model gave status 'Covered' without citing any evidence_id.,Policy does not specify a claim-count limit
Does cosmetic surgery after an accident get covered?,Exception,Covered,4.1,False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.012292623519897461,3.1682753562927246,3.183884382247925,3,312,32,102,The evidence provided does not explicitly state whether cosmetic surgery is covered after an accident.,Validated.,The accident exception within the exclusion clause carves out coverage
What is the day care treatment waiting period?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,False,True,True,True,True,True,Validation Failure,Generation Failure,0.017613887786865234,3.6287174224853516,3.6516733169555664,3,304,44,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",Model gave status 'Covered' without citing any evidence_id.,No waiting period is stated specifically for day care treatment
